,czone_x,statefip,yr,t2,timepwt24,d_impusch_p9,d_impuschm_p9cen,d_impuschf_p9cen,d_impotch_p9_lag,czone_y,d_avg_lnwkwage,d_avg_lnwkwage_m,d_avg_lnwkwage_f
75,2900.0,28,2000.0,1.0,0.00078895973,1.0646466,0.30138135,0.76326525,1.8122226,2900.0,3.9208274,0.5495208,8.448805
76,3001.0,28,1990.0,0.0,0.00016215025,3.267467,1.3092939,1.9581733,2.5475686,3001.0,19.184017,17.415428,22.786951
77,3001.0,28,2000.0,1.0,0.00020646448,2.4640076,0.923487,1.5405205,2.2613075,3001.0,-2.0411355,-4.703658,1.1293547
78,3002.0,28,1990.0,0.0,0.00015218393,0.26911157,0.1438933,0.12521827,0.78325886,3002.0,1.800108,-2.6113033,9.717226
79,3002.0,28,2000.0,1.0,0.00019632577,3.8451712,2.4989414,1.3462299,0.779544,3002.0,-4.790306,-3.735951,-3.740447
80,3003.0,28,1990.0,0.0,0.0019710832,0.4932325,0.33430994,0.15892252,0.6977896,3003.0,15.62562,14.18972,18.185806
81,3003.0,28,2000.0,1.0,0.0027282014,0.8203535,0.4729039,0.34744966,1.0678898,3003.0,3.5579543,3.3381324,3.7166734
82,3101.0,28,1990.0,0.0,0.00039738516,0.6709515,0.2655503,0.40540117,1.5234003,3101.0,5.945492,4.266453,12.813807
83,3101.0,28,2000.0,1.0,0.0005155017,1.4854981,0.48783603,0.99766207,1.5974677,3101.0,8.377075,11.850289,4.5929637
84,3102.0,28,1990.0,0.0,0.00016997677,0.351941,0.10113991,0.2508011,1.304702,3102.0,10.175514,7.451439,17.765188
85,3102.0,28,2000.0,1.0,0.00023374723,0.93338394,0.19028993,0.743094,1.2724048,3102.0,14.610086,15.677179,10.93299
86,3201.0,22,1990.0,0.0,8.697808e-05,0.264688,0.18215193,0.08253605,1.5043181,3201.0,13.941669,15.304565,17.80262
87,3201.0,22,2000.0,1.0,0.00012805013,0.70018435,0.48690778,0.21327655,1.1666728,3201.0,9.960515,15.303476,4.118102
88,3202.0,28,1990.0,0.0,0.00027540314,0.2271685,0.13536209,0.09180641,0.21272315,3202.0,9.836054,9.167957,15.251493
89,3202.0,28,2000.0,1.0,0.00034882055,1.032989,0.5726739,0.4603151,0.38715574,3202.0,8.677892,12.499946,4.3559756
90,3203.0,28,1990.0,0.0,0.0003226934,1.3296368,0.70159876,0.62803805,0.5608564,3203.0,1.4621735,-2.2066593,9.778786
91,3203.0,28,2000.0,1.0,0.0004229189,0.91514903,0.4787643,0.43638474,1.5758584,3203.0,2.417905,4.009315,0.91872895
92,3300.0,22,1990.0,0.0,0.0053562094,0.2401893,0.1325274,0.10766189,0.25327653,3300.0,9.808111,9.054089,12.470722
93,3300.0,22,2000.0,1.0,0.006918911,0.2532631,0.16065198,0.09261112,0.492078,3300.0,6.910597,6.3533106,7.5840273
94,3400.0,22,1990.0,0.0,0.0010735126,0.15365484,0.10302062,0.050634228,0.20003061,3400.0,11.117077,14.661455,10.508776
95,3400.0,22,2000.0,1.0,0.0013533768,0.33654183,0.29661146,0.039930355,0.5396518,3400.0,7.750102,9.764058,12.127672
96,3500.0,22,1990.0,0.0,0.0028912334,0.41838092,0.28865045,0.12973051,0.23622745,3500.0,8.749151,7.861328,14.244175
97,3500.0,22,2000.0,1.0,0.004060609,0.5506072,0.3813303,0.16927691,0.6340482,3500.0,8.414882,4.165854,12.923241
98,3600.0,22,1990.0,0.0,0.0007334119,0.17781606,0.10753688,0.07027918,0.23408897,3600.0,12.598419,11.805534,16.152811
99,3600.0,22,2000.0,1.0,0.00094715017,0.31566614,0.16007213,0.15559399,0.42261848,3600.0,10.80186,12.522221,10.385036
100,3700.0,22,1990.0,0.0,0.0012643745,0.20753895,0.15800098,0.049537998,0.1473705,3700.0,9.320259,6.4983845,18.440247
101,3700.0,22,2000.0,1.0,0.001665208,0.40091592,0.25237143,0.14854448,0.5045313,3700.0,8.203847,11.774131,4.674707
102,3800.0,22,1990.0,0.0,0.002024151,0.19875826,0.09709354,0.10166471,0.46995777,3800.0,13.170052,13.656569,15.836477
103,3800.0,22,2000.0,1.0,0.0027257295,1.4794831,0.62128526,0.8581978,0.52425545,3800.0,7.278102,9.482861,6.964411
104,3901.0,22,1990.0,0.0,0.0009940746,0.3673413,0.15791783,0.20942348,0.5457505,3901.0,10.968304,9.352446,15.718508
105,3901.0,22,2000.0,1.0,0.0012709113,0.74455345,0.3968081,0.34774533,0.795737,3901.0,2.2952898,4.6242304,0.2690043
106,3902.0,22,1990.0,0.0,8.7799126e-05,1.4524871,0.39244246,1.0600446,-0.55747414,3902.0,10.827494,10.2760315,14.819193
107,3902.0,22,2000.0,1.0,0.00010863598,0.5472003,0.20248736,0.34471297,0.3665367,3902.0,3.4029145,3.5964422,2.6855469
108,4001.0,5,1990.0,0.0,0.0001432514,1.4804946,1.0235217,0.456973,1.006185,4001.0,13.082361,13.811684,16.07976
109,4001.0,5,2000.0,1.0,0.00017180273,2.2645767,1.55803,0.7065466,1.1000609,4001.0,1.5634129,-3.037657,6.129878
110,4002.0,22,1990.0,0.0,0.0019461918,0.6409287,0.36160478,0.27932394,0.5446235,4002.0,10.877943,10.743523,11.755466
111,4002.0,22,2000.0,1.0,0.002505811,1.2238554,0.719153,0.5047023,1.9990339,4002.0,0.5399159,-2.5057793,5.249228
112,4003.0,22,1990.0,0.0,0.00029151037,0.8652217,0.39122313,0.47399855,0.3522691,4003.0,9.811544,9.8032,13.41424
113,4003.0,22,2000.0,1.0,0.00037552218,0.51999843,0.38546997,0.13452846,0.63048744,4003.0,5.8522224,5.997726,5.3324018
114,4004.0,22,1990.0,0.0,9.230933e-05,1.0450561,0.17669006,0.8683662,1.1281502,4004.0,7.9791546,7.5829983,11.502171
115,4004.0,22,2000.0,1.0,0.0001174128,1.1909541,0.40417445,0.78677964,1.00455,4004.0,4.9046106,2.9745784,6.611415
116,4101.0,5,1990.0,0.0,9.826435e-05,0.26766014,0.05911094,0.20854923,1.2606319,4101.0,18.371487,19.25788,20.107365
117,4101.0,5,2000.0,1.0,0.000120926816,0.84716135,0.4251268,0.4220346,1.7911692,4101.0,4.3131285,6.1251097,7.2447233
118,4102.0,5,1990.0,0.0,0.00068730436,0.64191383,0.35751748,0.28439632,0.7378334,4102.0,12.950134,11.257172,18.744326
119,4102.0,5,2000.0,1.0,0.00083999615,0.84580976,0.41981772,0.42599198,1.4748366,4102.0,3.272942,1.490593,8.361407
120,4103.0,5,1990.0,0.0,0.0003751545,0.96356934,0.5129387,0.45063072,0.822799,4103.0,10.651541,12.286997,13.308907
121,4103.0,5,2000.0,1.0,0.00045063364,0.95000917,0.6184402,0.331569,1.4105068,4103.0,2.0992415,-2.9253278,5.799702
122,4200.0,5,1990.0,0.0,0.002238371,0.8861837,0.44370508,0.44247866,0.70195425,4200.0,12.651539,9.406948,16.648817
123,4200.0,5,2000.0,1.0,0.003162285,0.8987561,0.5849269,0.31382918,1.6033504,4200.0,4.2281833,3.121376,6.5145493
